nohup: ignoring input
pid:  947291
Using SSIM loss,Mixing rate is:  [0, 0.5, 1]
==>Building network:
train vit net
2023-09-12 02:31:49,727 - mmseg - WARNING - The model and loaded state dict do not match exactly

unexpected key in source state_dict: cls_head.cls.weight, cls_head.cls.bias

Training model named:   vit4-7pg_cur4_all
Models and tensorboard events files are saved to:   /opt/data/private/wjy/PlaneDepth/log_err
Training is using:   cuda
change level from: -1 to: 0
Using split:
   eigen_zhou
There are 39810 training items , 697 validation items

Has Removed old log files at:   /opt/data/private/wjy/PlaneDepth/log_err/vit4-7pg_cur4_all
Loading ground truth depths... √

Starting from epoch 0 and current learning rate for depth is 5e-05 and pose lr is 0.0001
==>Training started...
epoch   0 | batch      0 | examples/s:   3.2 | loss: 0.13131 |contrast: 0.00003 with w=0.10000 and real: 0.00031
epoch   0 | batch    100 | examples/s:  13.7 | loss: 0.13984 |contrast: 0.00004 with w=0.10000 and real: 0.00041
epoch   0 | batch    200 | examples/s:  13.2 | loss: 0.13726 |contrast: 0.00022 with w=0.10000 and real: 0.00223
epoch   0 | batch    300 | examples/s:  13.6 | loss: 0.13641 |contrast: 0.00033 with w=0.10000 and real: 0.00334
epoch   0 | batch    400 | examples/s:  13.8 | loss: 0.13552 |contrast: 0.00040 with w=0.10000 and real: 0.00397
epoch   0 | batch    500 | examples/s:  13.7 | loss: 0.13493 |contrast: 0.00042 with w=0.10000 and real: 0.00423
epoch   0 | batch   1000 | examples/s:  13.8 | loss: 0.13262 |contrast: 0.00052 with w=0.10000 and real: 0.00521
epoch   0 | batch   1500 | examples/s:  12.4 | loss: 0.13079 |contrast: 0.00057 with w=0.10000 and real: 0.00568
epoch   0 | batch   2000 | examples/s:  13.5 | loss: 0.12846 |contrast: 0.00061 with w=0.10000 and real: 0.00611
epoch   0 | batch   2500 | examples/s:  13.6 | loss: 0.12607 |contrast: 0.00066 with w=0.10000 and real: 0.00655
epoch   0 | batch   3000 | examples/s:  13.7 | loss: 0.12410 |contrast: 0.00069 with w=0.10000 and real: 0.00690
epoch   0 | batch   3500 | examples/s:  13.7 | loss: 0.12231 |contrast: 0.00071 with w=0.10000 and real: 0.00715
epoch   0 | batch   4000 | examples/s:  13.7 | loss: 0.12058 |contrast: 0.00074 with w=0.10000 and real: 0.00739
epoch   0 | batch   4500 | examples/s:  13.5 | loss: 0.11907 |contrast: 0.00076 with w=0.10000 and real: 0.00757
epoch   1 | batch     24 | examples/s:  13.7 | loss: 0.10273 |contrast: 0.00091 with w=0.10000 and real: 0.00905
epoch   1 | batch    524 | examples/s:  13.9 | loss: 0.10219 |contrast: 0.00092 with w=0.10000 and real: 0.00920
epoch   1 | batch   1024 | examples/s:  13.7 | loss: 0.10221 |contrast: 0.00092 with w=0.10000 and real: 0.00918
epoch   1 | batch   1524 | examples/s:  13.6 | loss: 0.10213 |contrast: 0.00093 with w=0.10000 and real: 0.00929
epoch   1 | batch   2024 | examples/s:  13.7 | loss: 0.10195 |contrast: 0.00093 with w=0.10000 and real: 0.00934
epoch   1 | batch   2524 | examples/s:  13.7 | loss: 0.10136 |contrast: 0.00094 with w=0.10000 and real: 0.00941
epoch   1 | batch   3024 | examples/s:  13.6 | loss: 0.10084 |contrast: 0.00095 with w=0.10000 and real: 0.00949
epoch   1 | batch   3524 | examples/s:  13.7 | loss: 0.10038 |contrast: 0.00096 with w=0.10000 and real: 0.00956
epoch   1 | batch   4024 | examples/s:  13.5 | loss: 0.09990 |contrast: 0.00096 with w=0.10000 and real: 0.00959
epoch   1 | batch   4524 | examples/s:  13.7 | loss: 0.09946 |contrast: 0.00096 with w=0.10000 and real: 0.00960
epoch   2 | batch     48 | examples/s:  13.6 | loss: 0.09298 |contrast: 0.00190 with w=0.20000 and real: 0.00950
epoch   2 | batch    548 | examples/s:  13.7 | loss: 0.09341 |contrast: 0.00174 with w=0.20000 and real: 0.00869
epoch   2 | batch   1048 | examples/s:  13.7 | loss: 0.09339 |contrast: 0.00170 with w=0.20000 and real: 0.00851
epoch   2 | batch   1548 | examples/s:  13.7 | loss: 0.09313 |contrast: 0.00168 with w=0.20000 and real: 0.00842
epoch   2 | batch   2048 | examples/s:  13.6 | loss: 0.09312 |contrast: 0.00166 with w=0.20000 and real: 0.00832
epoch   2 | batch   2548 | examples/s:  13.6 | loss: 0.09272 |contrast: 0.00165 with w=0.20000 and real: 0.00827
epoch   2 | batch   3048 | examples/s:  13.7 | loss: 0.09258 |contrast: 0.00165 with w=0.20000 and real: 0.00824
epoch   2 | batch   3548 | examples/s:  13.7 | loss: 0.09238 |contrast: 0.00165 with w=0.20000 and real: 0.00823
epoch   2 | batch   4048 | examples/s:  13.6 | loss: 0.09207 |contrast: 0.00164 with w=0.20000 and real: 0.00819
epoch   2 | batch   4548 | examples/s:  13.6 | loss: 0.09187 |contrast: 0.00163 with w=0.20000 and real: 0.00817
epoch   3 | batch     72 | examples/s:  13.6 | loss: 0.08802 |contrast: 0.00157 with w=0.20000 and real: 0.00787
epoch   3 | batch    572 | examples/s:  13.6 | loss: 0.08777 |contrast: 0.00156 with w=0.20000 and real: 0.00782
epoch   3 | batch   1072 | examples/s:  13.6 | loss: 0.08797 |contrast: 0.00157 with w=0.20000 and real: 0.00787
epoch   3 | batch   1572 | examples/s:  13.7 | loss: 0.08794 |contrast: 0.00158 with w=0.20000 and real: 0.00789
